type,total_price,carat,price_per_carat,color,shape,length,width,height,clarity,cut,color_intensity,origin,treatment,cut_quality
Yellow Sapphire,13959,15.51,900,Yellow,Round,13.81,13.71,9.15,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,13974,4.11,3400,Blue,Oval,10.41,8.14,5.67,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,13984,4.57,3060,Color Change,Cushion,10.44,8.49,5.12,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,13997,4.99,2805,Blue,Cushion,10.61,8.77,5.73,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Ruby,14001,1.42,9860,Red,Cushion,6.5,6.44,4.18,Eye Clean,Mixed Brilliant,Vivid,Mozambique,Heated,Good
Blue Sapphire,14008,4.12,3400,Blue,Cushion,9.63,7.21,5.53,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Padparadscha Sapphire,14008,2.06,6800,Padparadscha (Pinkish-Orange / Orangish-Pink),Cushion,7.13,6.35,4.63,Very Slightly Included,Mixed Brilliant,Medium Intense,Madagascar,No Enhancement,Very Good
Blue Sapphire,14068,3.31,4250,Color Change,Cushion,8.85,7.99,5.1,Very Slightly Included,Mixed Brilliant,Intense,Madagascar,No Enhancement,Very Good
Blue Sapphire,14127,2.77,5100,Blue,Cushion,9.04,6.52,4.82,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Very Good
Ruby,14137,1.54,9180,Red,Round,7.27,7.17,3.2,Very Slightly Included,Mixed Brilliant,Vivid,Mozambique,Heated,Very Good
White Sapphire,14156,7.57,1870.01,White,Asscher - Octagon,11.29,10.97,6.56,Very Slightly Included,Asscher,Near Colorless,Ceylon (Sri Lanka),Heated,Very Good
Blue Sapphire,14157,4.29,3300,Blue,Cushion,10.28,8.52,5.17,Slightly Included,Mixed Brilliant,Intense,Burma (Myanmar),No Enhancement,Fair
Ruby,14161,2.38,5950,Red,Oval,8.4,6.71,4.42,Very Slightly Included,Mixed Brilliant,Vivid,Mozambique,Heated,Fair
Blue Sapphire,14175,3.79,3740,Blue,Pear,12.18,7.52,5.73,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,14229,2.79,5100,Blue,Emerald Cut,8.53,6.61,4.65,Very Slightly Included,Emerald Cut,Vivid,Ethiopia,No Enhancement,Very Good
Blue Sapphire,14244,3.99,3570,Blue,Cushion,11.58,7.34,4.81,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,14249,3.81,3740,Blue,Round,10.03,9.96,5.08,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Excellent
Blue Sapphire,14264,7.71,1850,Blue,Oval,12.07,9.19,7.79,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Ruby,14280,2.1,6800,Red,Cushion,8.93,6.23,4.08,Slightly Included,Mixed Brilliant,Vivid,Mozambique,Heated,Fair
Yellow Sapphire,14300,7.01,2040,Orangish Yellow,Cushion,12.47,12.36,7.92,Eye Clean,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Very Good
Yellow Sapphire,14334,9.13,1570,Yellow,Cushion,12.44,11.99,6.25,Eye Clean,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,14365,2.6,5525,Blue,Radiant,9.97,7.6,3.43,Very Slightly Included,Radiant Cut,Medium Intense,Madagascar,No Enhancement,Very Good
Blue Sapphire,14375,3.02,4760,Blue,Round,8.71,8.59,5.48,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,14408,3.39,4250,Blue,Emerald Cut,9.57,6.42,5.16,Very Slightly Included,Emerald Cut,Vivid,Ceylon (Sri Lanka),Heated,Very Good
Ruby,14416,2.12,6800,Red,Oval,8.14,6.22,4.21,Eye Clean,Mixed Brilliant,Vivid,Mozambique,Heated,Fair
Blue Sapphire,14423,3.03,4760,Blue,Cushion,9,7.19,4.87,Eye Clean,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Very Good
Pink Sapphire,14446,3.09,4675,Purplish Pink,Pear,12.48,7.62,4.58,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),No Enhancement,Very Good
Purple Sapphire,14470,3.04,4760,Purple,Cushion,7.88,7.85,5.37,Eye Clean,Mixed Brilliant,Intense,Madagascar,No Enhancement,Very Good
Blue Sapphire,14479,5.01,2890,Blue,Emerald Cut,11.1,8.44,5.05,Eye Clean,Emerald Cut,Medium Light,Ceylon (Sri Lanka),No Enhancement,Good
Ruby,14494,2.03,7140,Red,Oval,8.52,7.36,3.72,Slightly Included,Mixed Brilliant,Vivid,Mozambique,No Enhancement,Good
Ruby,14494,2.03,7140,Red,Heart,7.11,8.02,4.03,Eye Clean,Mixed Brilliant,Intense,Mozambique,No Enhancement,Very Good
Pink Sapphire,14518,3.05,4760,Pink,Cushion,10.06,7.12,4.4,Very Slightly Included,Mixed Brilliant,Intense,Madagascar,Heated,Excellent
Blue Sapphire,14525,3.56,4080,Blue,Pear,10.53,7.99,5.43,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Very Good
Ruby,14560,2.08,7000,Red,Oval,9.67,6.04,3.56,Slightly Included,Brilliant,Vivid,Burma (Myanmar),Heated,Good
Ruby,14566,2.04,7140,Red,Heart,8.02,8.4,3.08,Very Slightly Included,Mixed Brilliant,Vivid,Tanzania,Heated,Fair
Ruby,14582,2.35,6205,Red,Oval,9.18,7.56,3.56,Very Slightly Included,Mixed Brilliant,Vivid,Mozambique,Heated,Fair
Pink Sapphire,14593,4.64,3145,Pink,Pear,11.59,9.28,6.19,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Good
Ruby,14593,1.48,9860,Red,Cushion,6.53,6.27,3.64,Eye Clean,Mixed Brilliant,Vivid,Mozambique,Heated,Good
Blue Sapphire,14601,4.09,3570,Blue,Cushion,9.05,7.08,6.3,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,14620,2,7310,Blue,Cushion,7.63,5.89,4.94,Eye Clean,Mixed Brilliant,Vivid,Madagascar,No Enhancement,Excellent
Ruby,14620,2.15,6800,Red,Oval,8.87,6.73,3.89,Eye Clean,Mixed Brilliant,Vivid,Mozambique,Heated,Fair
Blue Sapphire,14652,5.07,2890,Blue,Oval,11.52,9.24,5.83,Eye Clean,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,14661,5.39,2720,Blue,Cushion,9.74,9.72,5.71,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,14663,7.5,1955,Blue,Oval,14.26,10.01,6.14,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,14664,4.54,3230,Blue,Radiant,10.23,7.55,6.26,Very Slightly Included,Radiant Cut,Intense,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,14669,5.85,2508,Blue,Oval,12.14,9.05,6.19,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,14680,3.03,4845,Blue,Emerald Cut,10.06,6.53,4.19,Eye Clean,Emerald Cut,Vivid,Ceylon (Sri Lanka),Heated,Very Good
Pink Sapphire,14681,10.16,1445,Purplish Pink,Oval,14.69,10.34,1.29,Very Slightly Included,Mixed Brilliant,Faint,Ceylon (Sri Lanka),No Enhancement,Good
Ruby,14696,1.33,11050,Red,Round,6.98,6.83,3.41,Eye Clean,Mixed Brilliant,Vivid,Mozambique,Heated,Very Good
Blue Sapphire,14697,4.55,3230,Blue,Round,10.62,10.48,4.98,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Pink Sapphire,14703,4.07,3613,Pink,Oval,11.74,7.64,4.87,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,14705,3.46,4250,Color Change,Emerald Cut,9.03,7.17,5.24,Eye Clean,Emerald Cut,Intense,Madagascar,No Enhancement,Excellent
Blue Sapphire,14722,4.33,3400,Blue,Round,9.35,9.39,6.05,Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
White Sapphire,14729,7.22,2040.03,White,Asscher - Octagon,10.98,10.88,6.9,Very Slightly Included,Asscher,Near Colorless,Ceylon (Sri Lanka),No Enhancement,Very Good
Pink Sapphire,14730,4.03,3655,Pink,Cushion,9.61,7.58,5.83,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Pink Sapphire,14736,7.88,1870,Pink,Oval,12.32,10.78,7.5,Very Slightly Included,Mixed Brilliant,Very Light,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,14770,5.43,2720,Blue,Oval,11.33,8.86,6.37,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Ruby,14790,1.5,9860,Red,Cushion,15.9,9.36,6.64,Eye Clean,Mixed Brilliant,Vivid,Mozambique,Heated,Good
Blue Sapphire,14807,2.6,5695,Blue,Cushion,9.14,6.57,4.64,Very Slightly Included,Mixed Brilliant,Vivid,Madagascar,No Enhancement,Very Good
Pink Sapphire,14810,3.63,4080,Pink,Oval,9.71,7.92,5.68,Very Slightly Included,Mixed Brilliant,Vivid,Madagascar,No Enhancement,Good
Blue Sapphire,14815,6.01,2465,Blue,Radiant,11.03,8.12,6.81,Very Slightly Included,Radiant Cut,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Pink Sapphire,14872,4.86,3060,Purplish Pink,Oval,10.23,9.1,5.52,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,14918,4.5,3315,Blue,Radiant,9.26,7.89,6.36,Very Slightly Included,Radiant Cut,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Ruby,14923,1.33,11220,Red,Heart,6.11,6.91,3.82,Very Slightly Included,Mixed Brilliant,Vivid,Mozambique,Heated,Very Good
Blue Sapphire,14926,4.39,3400,Blue,Cushion,9.34,8.45,6.04,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Padparadscha Sapphire,14933,3.66,4080,Padparadscha (Pinkish-Orange / Orangish-Pink),Pear,11.53,7.57,5.36,Very Slightly Included,Mixed Brilliant,Medium Light,Madagascar,Heated,Very Good
Blue Sapphire,14938,3.03,4930,Blue,Oval,10.19,7.48,4.55,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Excellent
Yellow Sapphire,14939,7.03,2125,Yellow,Round,10.9,10.97,7.7,Very Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Good
Ruby,14945,1.49,10030,Red,Cushion,6.94,6.88,3.45,Eye Clean,Mixed Brilliant,Vivid,Mozambique,Heated,Very Good
Blue Sapphire,14960,4.4,3400,Blue,Oval,13.72,8.82,3.89,Very Slightly Included,Mixed Brilliant,Intense,Burma (Myanmar),No Enhancement,Good
Purple Sapphire,14960,4,3740,Purple,Cushion,8.52,7.69,5.91,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Very Good
Purple Sapphire,14979,5.34,2805,Purple,Cushion,9.36,8.68,6.62,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Pink Sapphire,14986,4.1,3655,Pinkish Purple,Cushion,9.33,8.67,6.08,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Pink Sapphire,14994,4.2,3570,Pink,Oval,9.86,8.78,5.77,Very Slightly Included,Mixed Brilliant,Intense,Madagascar,Heated,Good
Blue Sapphire,15003,3.53,4250,Blue,Emerald Cut,8.57,7.09,5.53,Eye Clean,Emerald Cut,Vivid,Ceylon (Sri Lanka),Heated,Good
Pink Sapphire,15003,3.53,4250,Pink,Cushion,8.2,7.94,6.13,Eye Clean,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Excellent
Blue Sapphire,15042,3.16,4760,Blue,Cushion,8.41,8.11,5.21,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Very Good
Blue Sapphire,15054,5.06,2975,Blue,Oval,10.98,8.63,5.94,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Ruby,15059,2.06,7310,Red,Oval,7.93,6.42,4.77,Slightly Included,Mixed Brilliant,Vivid,Mozambique,No Enhancement,Good
Ruby,15086,1.53,9860,Red,Oval,8.02,5.87,3.44,Eye Clean,Mixed Brilliant,Vivid,Mozambique,Heated,Excellent
Ruby,15086,1.53,9860,Red,Cushion,6.66,6.52,3.82,Eye Clean,Mixed Brilliant,Vivid,Mozambique,Heated,Good
Blue Sapphire,15089,3.17,4760,Blue,Round,8.69,8.53,5.51,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Very Good
Blue Sapphire,15101,4.23,3570,Blue,Pear,12.37,8.05,5.84,Eye Clean,Mixed Brilliant,Vivid,Madagascar,Heated,Good
Blue Sapphire,15116,4.56,3315,Blue,Pear,12.94,8.21,5.26,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,15123,5.56,2720,Blue,Cushion,11.57,8.12,5.87,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Ruby,15164,2.23,6800,Red,Emerald Cut,9.1,5.73,3.93,Very Slightly Included,Emerald Cut,Vivid,Mozambique,Heated,Fair
Blue Sapphire,15172,2.55,5950,Blue,Oval,8.95,6.55,4.83,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),No Enhancement,Good
Pink Sapphire,15173,3.5,4335,Purplish Pink,Cushion,9.46,7.83,5.34,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),No Enhancement,Very Good
Ruby,15208,2.13,7140,Red,Oval,9.17,6.96,3.7,Very Slightly Included,Mixed Brilliant,Vivid,Mozambique,No Enhancement,Fair
Blue Sapphire,15215,3.58,4250,Blue,Cushion,8.97,7.77,5.7,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Very Good
Ruby,15217,2.17,7012,Red,Oval,8.71,7.48,4.98,Slightly Included,Mixed Brilliant,Vivid,Mozambique,Heated,Good
Ruby,15249,1.38,11050,Red,Round,6.99,6.88,3.37,Eye Clean,Mixed Brilliant,Vivid,Mozambique,Heated,Very Good
Purple Sapphire,15283,3.1,4930,Purple,Cushion,9.1,6.83,5.03,Eye Clean,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Very Good
Ruby,15283,1.55,9860,Red,Cushion,6.49,6.3,4.26,Eye Clean,Mixed Brilliant,Intense,Mozambique,Heated,Excellent
Blue Sapphire,15287,5.45,2805,Blue,Round,10,9.89,6.87,Eye Clean,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,15300,2,7650,Blue,Radiant,8.11,6.2,4.04,Eye Clean,Radiant Cut,Intense,Ceylon (Sri Lanka),No Enhancement,Excellent
Ruby,15300,1.2,12750,Red,Pear,8.22,5.87,3.45,Very Slightly Included,Mixed Brilliant,Vivid,Mozambique,No Enhancement,Excellent
Pink Sapphire,15301,5.38,2844,Pinkish Purple,Emerald Cut,9.32,8.06,6.43,Very Slightly Included,Emerald Cut,Intense,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,15309,4.15,3689,Color Change,Round,8.37,8.3,7.13,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,15315,2.31,6630,Blue,Oval,8.94,6.7,4.13,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,15337,3.47,4420,Blue,Cushion,8.99,7.42,5.74,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Purple Sapphire,15338,4.01,3825,Purple,Cushion,9.46,7.95,5.59,Very Slightly Included,Mixed Brilliant,Vivid,Madagascar,No Enhancement,Very Good
Blue Sapphire,15385,3.62,4250,Blue,Cushion,8.63,8.16,5.55,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Very Good
Ruby,15410,2.45,6290,Red,Oval,8.79,7.62,3.51,Eye Clean,Mixed Brilliant,Vivid,Mozambique,Heated,Fair
Blue Sapphire,15446,4.13,3740,Blue,Cushion,9.62,7.55,5.67,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,15453,5.05,3060,Blue,Oval,10.53,9.4,6.21,Eye Clean,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Pink Sapphire,15453,3.03,5100,Purplish Pink,Cushion,8.12,7.07,5.42,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),No Enhancement,Very Good
Blue Sapphire,15470,3.64,4250,Blue,Round,9.13,9.06,5.44,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Very Good
Blue Sapphire,15480,3.87,4000,Blue,Fancy,10.27,7.23,5.74,Eye Clean,French Cut,Vivid,Montana,Heated,Very Good
Blue Sapphire,15491,4.05,3825,Blue,Oval,9.7,8.02,5.97,Very Slightly Included,Mixed Brilliant,Vivid,Madagascar,Heated,Fair
Blue Sapphire,15500,5.21,2975,Blue,Pear,14.24,9.09,5.33,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,15504,3.04,5100,Blue,Asscher - Octagon,8.09,7.96,5.03,Eye Clean,Asscher,Vivid,Ceylon (Sri Lanka),Heated,Very Good
Blue Sapphire,15504,4.56,3400,Blue,Pear,12.6,8.68,5.64,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Ruby,15508,2.05,7565,Red,Oval,8.45,6.18,4.18,Slightly Included,Mixed Brilliant,Vivid,Mozambique,No Enhancement,Good
Blue Sapphire,15530,2.03,7650,Blue,Oval,8.19,6.86,4.52,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,15538,4.57,3400,Blue,Cushion,9.5,8.82,6.1,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Padparadscha Sapphire,15545,2.54,6120,Padparadscha (Pinkish-Orange / Orangish-Pink),Cushion,8.55,7.3,4.4,Eye Clean,Mixed Brilliant,Vivid,Madagascar,No Enhancement,Very Good
Padparadscha Sapphire,15555,3.05,5100,Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,10.7,8.06,4.48,Very Slightly Included,Mixed Brilliant,Intense,Madagascar,Heated,Good
Blue Sapphire,15568,4.07,3825,Blue,Cushion,9.12,7.41,5.84,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Ruby,15579,1.58,9860,Red,Cushion,8.63,7.97,4.76,Eye Clean,Mixed Brilliant,Vivid,Mozambique,No Enhancement,Good
Blue Sapphire,15598,3.67,4250,Blue,Cushion,8.65,8.53,5.77,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Very Good
Blue Sapphire,15603,3.53,4420,Blue,Oval,9.08,7.96,5.95,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Excellent
Blue Sapphire,15603,3.53,4420,Blue,Cushion,8.91,7.82,5.41,Eye Clean,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Very Good
Blue Sapphire,15606,4.59,3400,Blue,Cushion,10.38,8.04,6.19,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Padparadscha Sapphire,15606,3.06,5100,Padparadscha (Pinkish-Orange / Orangish-Pink),Cushion,7.99,7.51,5.6,Very Slightly Included,Mixed Brilliant,Vivid,Madagascar,Heated,Good
Blue Sapphire,15647,3.54,4420,Blue,Cushion,9.35,7.39,5.58,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Excellent
Ruby,15657,3.07,5100,Red,Pear,10.4,8.59,3.81,Very Slightly Included,Mixed Brilliant,Vivid,Mozambique,Heated,Fair
Blue Sapphire,15679,4.01,3910,Blue,Cushion,9.65,8.57,5.42,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,15693,5.43,2890,Blue,Round,10.8,10.69,6.31,Eye Clean,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Pink Sapphire,15728,2.57,6120,Pink,Cushion,9.33,6.51,4.43,Eye Clean,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Excellent
Yellow Sapphire,15749,7.72,2040,Yellow,Emerald Cut,11.05,9.36,7.91,Very Slightly Included,Emerald Cut,Medium Light,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,15768,3.71,4250,Blue,Cushion,8.54,7.9,5.9,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Very Good
Ruby,15779,2.73,5780,Red,Oval,9.52,7.2,4.36,Very Slightly Included,Mixed Brilliant,Vivid,Mozambique,Heated,Fair
Ruby,15779,2.21,7140,Red,Oval,8.6,6.5,4.31,Eye Clean,Mixed Brilliant,Vivid,Mozambique,Heated,Fair
Blue Sapphire,15785,6.19,2550,Blue,Oval,12.58,9.44,6.26,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,15796,4.04,3910,Blue,Oval,10.02,7.53,6.02,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,15796,4.04,3910,Blue,Oval,10.88,8.42,5.19,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,15810,3.1,5100,Blue,Emerald Cut,9.33,6.76,4.58,Very Slightly Included,Emerald Cut,Vivid,Ethiopia,No Enhancement,Very Good
Blue Sapphire,15836,4.05,3910,Blue,Round,9.17,9.04,6.14,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,15836,2.07,7650,Blue,Oval,9.22,7.19,3.77,Eye Clean,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Very Good
Blue Sapphire,15836,4.05,3910,Blue,Cushion,8.98,7.45,6.16,Eye Clean,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Very Good
Blue Sapphire,15850,3.17,5000,Blue,Oval,8.76,7.43,5.63,Very Slightly Included,Mixed Brilliant,Vivid,Madagascar,No Enhancement,Very Good
Blue Sapphire,15851,3.33,4760,Blue,Round,8.66,8.58,5.66,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,15875,4.06,3910,Blue,Round,9.78,9.72,5.08,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Pink Sapphire,15881,3.46,4590,Pink,Cushion,8.97,8.94,4.84,Very Slightly Included,Mixed Brilliant,Intense,Madagascar,Heated,Very Good
Blue Sapphire,15895,4.25,3740,Blue,Oval,10.86,8.85,5.31,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,15914,4.07,3910,Blue,Oval,9.74,7.93,6.19,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,15914,4.07,3910,Blue,Oval,9.29,8.65,5.9,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Padparadscha Sapphire,15929,4.03,3953,Padparadscha (Pinkish-Orange / Orangish-Pink),Cushion,9.8,7.81,5.98,Very Slightly Included,Mixed Brilliant,Intense,Madagascar,No Enhancement,Fair
Padparadscha Sapphire,15976,5.37,2975,Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,10.82,9.59,6.41,Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Poor
Blue Sapphire,15980,4,3995,Blue,Cushion,9.07,8.99,6.2,Eye Clean,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Excellent
Blue Sapphire,16011,4.83,3315,Blue,Oval,10.5,8.67,6.62,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,16034,2.62,6120,Blue,Round,8.15,8.11,5.4,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Excellent
Yellow Sapphire,16034,10.48,1530,Yellow,Emerald Cut,12.35,9.92,8.52,Very Slightly Included,Emerald Cut,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,16077,4.01,4125,Blue,Asscher - Octagon,9.04,8.59,5.71,Eye Clean,Asscher,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,16078,5.82,2763,Blue,Asscher - Octagon,11.03,10.15,5.64,Very Slightly Included,Asscher,Vivid,Thailand,No Enhancement,Fair
Blue Sapphire,16085,4.98,3230,Blue,Cushion,11.14,10.23,5.1,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Purple Sapphire,16095,5.41,2975,Purple,Oval,11.96,9.64,5.43,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Very Good
Blue Sapphire,16108,3.79,4250,Blue,Cushion,8.78,8.61,5.24,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Very Good
Purple Sapphire,16109,4.12,3910,Purple,Cushion,10.39,8.74,4.94,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Very Good
Ruby,16112,2.23,7225,Purplish Red,Cushion,7.27,7.02,5.16,Very Slightly Included,Mixed Brilliant,Vivid,Mozambique,No Enhancement,Fair
Blue Sapphire,16116,2.37,6800,Blue,Cushion,8.38,6.59,4.38,Eye Clean,Mixed Brilliant,Vivid,Madagascar,No Enhancement,Very Good
Ruby,16135,3.17,5090,Red,Oval,9.78,7.32,4.8,Slightly Included,Brilliant,Vivid,Burma (Myanmar),Heated,Fair
Ruby,16136,2.26,7140,Red,Oval,8.6,6.67,4.12,Eye Clean,Mixed Brilliant,Vivid,Mozambique,Heated,Fair
Pink Sapphire,16140,4.04,3995,Purplish Pink,Cushion,10.06,7.6,5.03,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,16148,3.22,5015,Blue,Emerald Cut,8.79,6.17,5.49,Eye Clean,Emerald Cut,Vivid,Ceylon (Sri Lanka),Heated,Very Good
Yellow Sapphire,16157,7.92,2040,Yellow,Oval,12.94,10.97,6.68,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,Very Good
Blue Sapphire,16182,5.01,3230,Blue,Cushion,9.67,9.64,5.76,Eye Clean,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
